Year,usaVMT,iaVMT,iaGAS,mnVMT,mnGAS,ndVMT,ndGAS,sdVMT,sdGAS,wiVMT,wiGAS,iaPOP,iaAREA,iaDENS,mnPOP,mnAREA,mnDENS,ndPOP,ndAREA,ndDENS,sdPOP,sdAREA,sdDENS,wiPOP,wiAREA,wiDENS,mnTempHigh,mnTempLow,iaTempHigh,iaTempLow,wiTempHigh,wiTempLow,ndTempHigh,ndTempLow,sdTempHigh,sdTempLow,iaBicycle,iaCarpool,iaDrovealone,iaPublictransportation,iaTaximotorcycleorother,iaWalked,iaWorkedathome,mnBicycle,mnCarpool,mnDrovealone,mnPublictransportation,mnTaximotorcycleorother,mnWalked,mnWorkedathome,ndBicycle,ndCarpool,ndDrovealone,ndPublictransportation,ndTaximotorcycleorother,ndWalked,ndWorkedathome,sdBicycle,sdCarpool,sdDrovealone,sdPublictransportation,sdTaximotorcycleorother,sdWalked,sdWorkedathome,wiBicycle,wiCarpool,wiDrovealone,wiPublictransportation,wiTaximotorcycleorother,wiWalked,wiWorkedathome,iaLaws,mnLaws,sdLaws,ndLaws,wiLaws,iaGHG,mnGHG,ndGHG,sdGHG,wiGHG,evSHARE
1990,2147501000000,23165000000,1419690225.0,39216794645,1975783350.0,5957000000,320141625.0,6985000000,376353600.00000006,44276000000,2124622725.0,2776755,56272.81,49.344523580748856,4387283,86935.83,50.46576308065386,637364,70698.32,9.015263729039106,696667,77115.68,9.03405118129024,4902265,65496.38,74.84787708877957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11648366,25.14563284,4.844608493,4.916453112,25.80872586,0.0
1991,2172214000000,23572000000,1380900675.0,39301381935,1968734025.0,5999000000,323136675.0,6690000000,380517450.0,45456000000,2136858600.0,2791227,56272.81,49.60169929313997,4427429,86935.83,50.92755196562798,634199,70698.32,8.970496045733476,701445,77115.68,9.096010046205908,4952675,65496.38,75.617537946372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.56471238,26.31080027,4.9134733,4.687325381,25.71647979,0.0
1992,2247152000000,24411000000,1381485075.0,41685288180,1983161400.0,6105000000,334970775.0,7176000000,402067200.0,47495000000,2161220775.0,2806923,56272.81,49.88062618518606,4471503,86935.83,51.43452360206373,635427,70698.32,8.987865623963907,708698,77115.68,9.190063551277769,5004636,65496.38,76.41087950204272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4318445,27.72053779,5.143650465,5.2885932669999995,26.36858134,0.0
1993,2296705000000,25396000000,1386306375.0,42473511890,2043391125.0,6204000000,361159200.0,7352000000,403966500.0,48805000000,2195883000.0,2820525,56272.81,50.1223415002734,4521709,86935.83,52.01203002260403,637229,70698.32,9.013354207002372,716258,77115.68,9.288098088482135,5055318,65496.38,77.18469326091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.06416816,29.23382422,5.402739287999999,5.384091526000001,27.18091767,0.0
1994,2357587000000,26039000000,1432108725.0,43262537865,2156034225.0,6388000000,364556025.0,7550000000,418759125.0,50273000000,2240881800.0,2829422,56272.81,50.28044627591905,4566028,86935.83,52.52181982963756,639762,70698.32,9.049182498254554,723038,77115.68,9.376017951213036,5095504,65496.38,77.79825388823016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.05388613,30.21738161,5.357595589,5.724229922,28.72121448,0.0
1995,2422776000000,26658000000,1413846225.0,44117498900,2220720000.0,6546000000,369486900.0,7569000000,409080000.0,51395000000,2311813350.0,2840860,56272.81,50.48370607403469,4605445,86935.83,52.97522321924114,641548,70698.32,9.074444767570148,728251,77115.68,9.44361769227737,5137004,65496.38,78.4318766930325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72433701,31.28808139,5.362954371,5.84153434,29.29735367,0.0
1996,2482201000000,27587000000,1463045400.0,45821088180,2277041550.0,6767000000,357141450.0,7696000000,414449175.0,52639000000,2366126025.0,2848473,56272.81,50.618993435728555,4647723,86935.83,53.461535939784554,642858,70698.32,9.092974203630298,730699,77115.68,9.475362209086402,5173828,65496.38,78.99410623915398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0198617,32.27630027,5.49626678,5.8388866429999995,29.75241342,0.0
1997,2560373000000,28404000000,1467245775.0,48090575365,2306955525.0,6942000000,362437575.0,7797000000,414266550.0,53729000000,2409335100.0,2854396,56272.81,50.72424853139554,4687726,86935.83,53.921679933348535,640945,70698.32,9.065915569139408,730855,77115.68,9.477385143981095,5200235,65496.38,79.39728882726038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55061863,31.86815942,5.582767135,5.688363227999999,29.8997349,0.0
1998,2625363000000,29192000000,1490220000.0,49711668480,2291907225.0,7093000000,373541175.0,7931000000,441258525.0,56048000000,2472012000.0,2861025,56272.81,50.84204965062168,4726411,86935.83,54.36666331937016,637808,70698.32,9.021543934848804,730789,77115.68,9.476529286910264,5222124,65496.38,79.73149050374998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.18884528,33.36861231,5.017909071,5.854560715,31.497489299999998,0.0
1999,2679459000000,29726000000,1560348000.0,50864384105,2407947150.0,7101000000,379640850.00000006,8054000000,422119425.0,56960000000,2452105875.0,2869413,56272.81,50.991109205316036,4775508,86935.83,54.931413204429056,633666,70698.32,8.9629569698403,733133,77115.68,9.506925180456168,5250446,65496.38,80.16391134899364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99104581,35.42909624,5.922174059,5.99786147,32.15026894,0.0
2000,2746926000000,29821000000,1496173575.0,52109352480,2452288500.0,7061000000,359150325.0,8227000000,420329700.0,57266000000,2503861800.0,2929067,56272.81,52.05119488435001,4933692,86935.83,56.7509621752044,642023,70698.32,9.081163456217912,737333,77115.68,9.561388812236371,5373999,65496.38,82.05032094903567,52.4,31.2,59.3,38.0,54.2,33.5,52.6,29.5,58.4,33.5,,0.10800000000000001,0.7859999999999999,0.01,0.009000000000000001,0.04,0.047,,0.10400000000000001,0.7759999999999999,0.032,0.009000000000000001,0.033,0.046,,0.1,0.777,0.004,0.008,0.05,0.06,,0.14,0.794,0.008,0.013000000000000001,0.023,0.021,,0.127,0.8029999999999999,0.008,0.009000000000000001,0.028999999999999998,0.024,1.0,1.0,2.0,0.0,2.0,19.63923317,36.65005012,5.788442157,6.085023065,31.50081596,0.0002
2001,2795611000000,30461000000,1509505200.0,53233950965,2488667400.0,7084000000,346622250.0,8540000000,425406675.0,57266000000,2514417525.0,2931997,56272.81,52.10326265917767,4982796,86935.83,57.31579257942324,639062,70698.32,9.039281272878902,758803,77115.68,9.83980171088422,5406835,65496.38,82.55166163381854,53.4,32.7,59.3,38.8,55.6,35.0,53.7,30.8,58.4,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,19.50063866,35.77567065,6.249762925,5.989326572,31.27380119,0.0
2002,2855509000000,31361000000,1544751825.0,54401389960,2475591450.0,7095000000,340120800.0,8494000000,429826200.0,58745000000,2560439025.0,2934234,56272.81,52.14301542787716,5018935,86935.83,57.731489996702166,638168,70698.32,9.026635993613425,761633,77115.68,9.876499824678977,5445162,65496.38,83.13683901308744,52.1,32.0,59.9,38.4,54.5,34.7,52.3,29.7,58.6,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,20.03503558,36.21115402,6.19813778,6.495304303999999,31.23565055,0.0
2003,2890222000000,31597000000,1560457575.0,55413326180,2551892175.0,7290000000,330039900.0,8516000000,429607050.0,59617000000,2505213225.0,2941999,56272.81,52.28100391645628,5053572,86935.83,58.1299103028061,638817,70698.32,9.035815843997424,765980,77115.68,9.932869683571488,5479203,65496.38,83.65657766123869,52.4,30.7,58.9,36.9,54.0,32.4,52.5,29.0,58.4,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,2.0,20.16619153,36.17363384,6.277670477999999,6.072184257999999,30.76232826,0.0
2004,2964789000000,31971000000,1636539150.0,56483471916,2686267650.0,7439000000,350530425.0,8771000000,434172675.0,60398000000,2472779025.0,2953635,56272.81,52.48778228775141,5087713,86935.83,58.52262525129167,644705,70698.32,9.11909929401434,773087,77115.68,10.025029929062418,5514026,65496.38,84.18825590055512,51.7,30.9,58.9,38.1,53.8,33.2,52.0,29.1,58.6,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,3.0,2.0,21.17871182,37.24830997,6.502986705,6.172236785,31.95376058,0.0
2005,2989430000000,31568000000,1575688500.0,56520774505,2635351800.0,7443000000,334094175.0,8383000000,424310925.0,60018000000,2578482375.0,2964454,56272.81,52.68004210203827,5119598,86935.83,58.88939002480335,646089,70698.32,9.138675431042774,778775,77115.68,10.098789247530464,5546166,65496.38,84.6789700438406,53.3,32.8,60.1,39.1,55.6,34.6,53.6,31.2,59.6,35.0,0.00543137,0.10073519199999999,0.800976858,0.007861622,0.010168867,0.031580371,0.043245719,0.005302843000000001,0.094980828,0.789821592,0.028189506,0.007959272,0.027028088999999998,0.046717869,0.004243363,0.107624081,0.78180548,0.0042494379999999995,0.008717575,0.040981714,0.052378349000000005,0.004141183,0.109918146,0.7747757190000001,0.0030986840000000004,0.007195338000000001,0.040015716,0.060855216,0.006358481,0.090277977,0.81128564,0.014979113,0.009522989,0.029258072000000003,0.038317727999999995,1.0,4.0,2.0,3.0,5.0,21.8045546,37.64766231,6.419279451,6.257833407000001,31.33199912,0.0
2006,3014116000000,31733000000,1403655750.0,56603273630,2573880225.0,7664000000,341983575.0,9150000000,421900275.0,59401000000,2484722700.0,2982644,56272.81,53.00328879968852,5163555,86935.83,59.39501584099444,649422,70698.32,9.185819408438558,786973,77115.68,10.20509706975287,5577655,65496.38,85.15974470650134,54.7,34.0,60.8,40.0,56.1,35.9,55.7,32.1,60.6,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,2.0,3.0,6.0,22.26926803,37.00044861,6.361237151,6.2747583460000005,31.659536300000003,0.0
2007,3029822000000,31481000000,1350292725.0,57409995170,2556969150.0,7663000000,328542375.0,8988000000,434063100.0,59493000000,2421461400.0,2999212,56272.81,53.29771163018161,5207203,86935.83,59.897087311411184,652822,70698.32,9.233911074548871,795521,77115.68,10.31594352795696,5610775,65496.38,85.66542150879178,52.8,32.1,59.0,38.7,55.1,34.4,53.4,30.1,58.8,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,3.0,4.0,6.0,22.55793977,37.01320649,7.210858055,6.489633978,31.60946945,0.0
2008,2973509000000,30954000000,1291231800.0,57296572026,2233065450.0,7608000000,324268950.0,8470000000,409810500.0,57462000000,2429533425.0,3016734,56272.81,53.60908758599402,5247018,86935.83,60.355068790394014,657569,70698.32,9.301055527203474,803047,77115.68,10.413537169094536,5640996,65496.38,86.12683632286243,50.1,28.8,56.1,35.7,52.4,31.1,51.4,27.3,56.0,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,4.0,5.0,7.0,21.64093332,34.93261884,6.4252722229999994,6.093472007999999,30.38265686,0.0
2009,2956764000000,31295000000,1304307750.0,56970430780,2213889825.0,7943000000,346183950.0,8740000000,424237875.0,58157000000,2512846950.0,3032870,56272.81,53.89583352955006,5281203,86935.83,60.74828985931347,664968,70698.32,9.405711479424122,810814,77115.68,10.514255985293783,5669264,65496.38,86.55843269505887,50.3,29.9,56.9,36.5,52.8,32.0,49.3,27.7,55.0,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,11.0,9.0,7.0,7.0,21.11783116,32.33374478,6.022291882,6.288772778999999,29.54967515,0.0
2010,2967266000000,31579000000,1387475175.0,56762480425,2218309350.0,8303000000,370400025.0,8861000000,439432275.0,59420000000,2584801200.0,3050745,56272.81,54.21348249714205,5310828,86935.83,61.08905844690273,674715,70698.32,9.543578970476242,816166,77115.68,10.583658213219413,5690475,65496.38,86.88228265440014,53.2,32.5,58.4,38.0,55.8,35.1,51.4,30.4,56.3,33.9,0.005220304,0.097019565,0.7932602459999999,0.010998841,0.009275916,0.035890745,0.048334385,0.006517373000000001,0.085385854,0.7819221479999999,0.034748381,0.009059643000000001,0.028101572999999998,0.054265029000000006,0.005900123,0.086439722,0.800243453,0.006867265,0.010727496999999999,0.038321619,0.051500320999999995,0.004587883,0.10004657199999999,0.781842684,0.005261698,0.012354088999999999,0.043840048,0.052067025,0.007522892,0.088048435,0.80513941,0.016690102,0.009323846,0.031447993,0.041827322,2.0,11.0,9.0,7.0,12.0,21.05569421,32.16467366,6.876221103,6.5028863029999995,30.01205452,0.0
2011,2950402000000,31411000000,1340686650.0,56675049785,2207059650.0,9166000000,391328850.0,8993000000,442646475.0,58554000000,2554083675.0,3066336,56272.81,54.490543479168714,5346143,86935.83,61.4952776087834,685225,70698.32,9.692238797187825,823579,77115.68,10.679786523311472,5705288,65496.38,87.10844782566609,52.3,31.8,58.6,38.2,54.0,34.2,51.3,30.0,56.3,33.2,0.004707685,0.089099691,0.8052758059999999,0.010903746,0.00885822,0.035041618,0.046113235999999995,0.007100271,0.093056975,0.777315037,0.034460746,0.008724871,0.027325092999999998,0.052017007000000004,0.0064987790000000005,0.09506460900000001,0.791089012,0.003940951,0.00685877,0.039184851,0.057363027999999996,0.0067727080000000005,0.099598076,0.780027218,0.007077565,0.008492103,0.042675134,0.055357195,0.006883497,0.08908675,0.798361557,0.019630073,0.008865880999999999,0.034014442,0.043157799000000004,6.0,12.0,10.0,10.0,12.0,21.22248776,31.81327274,8.032737695,6.489778827,28.91536977,0.0017
2012,2968570000000,31581000000,1300947450.0,57018582582,2266558875.0,10093000000,417152025.0,9077000000,413389950.0,59020000000,2463392100.0,3076190,56272.81,54.665654691848516,5376643,86935.83,61.84611109136475,701176,70698.32,9.917859434283585,833566,77115.68,10.80929325916597,5719960,65496.38,87.33246020619765,56.1,34.3,63.6,40.5,58.2,36.6,56.2,32.1,62.7,35.9,0.005099037,0.090445661,0.798968692,0.010867228,0.011219449,0.036396393,0.04700354,0.008136481999999999,0.089488877,0.78028358,0.03273479,0.007863232,0.028074935,0.053418104,0.003566815,0.09747877699999999,0.795019748,0.003800705,0.006166179,0.038201071,0.055766706,0.008208675,0.091471149,0.7874247659999999,0.004828772,0.010916398,0.039456745,0.057693495,0.008734473000000001,0.089373701,0.8020657590000001,0.017994671,0.010028071999999999,0.032733559,0.039069766,6.0,12.0,12.0,10.0,12.0,20.30150101,32.21565089,9.144185092,6.875894276,28.87098928,0.0021
2013,2988280000000,31542000000,1261610025.0,56993471770,2307028575.0,10100000000,435268425.0,9114000000,432163800.0,59484000000,2597000550.0,3092997,56272.81,54.96432468895725,5413479,86935.83,62.269825916425944,722036,70698.32,10.21291595047803,842316,77115.68,10.922759158708061,5736754,65496.38,87.58887132388081,49.5,29.1,56.9,36.4,51.9,31.6,49.6,28.0,55.7,32.4,0.005526304,0.085967245,0.8086116520000001,0.010974418,0.010129835,0.037174606,0.04161594,0.007893278,0.08577760699999999,0.7838565829999999,0.035800068,0.008588036,0.02925773,0.048826697999999995,0.005107080999999999,0.100962865,0.789712069,0.004333281,0.010946693,0.04530342,0.04363459099999999,0.003636006,0.092028648,0.7974512840000001,0.002940646,0.009882538,0.041651351,0.052409527000000004,0.008319425,0.082066001,0.8052160290000001,0.019801777,0.008554359000000001,0.03540876,0.040633648,7.0,15.0,12.0,12.0,12.0,20.65801835,30.66664662,9.538938273,6.599205119,28.58006192,0.0064
2014,3025656000000,32332000000,1186003275.0,57393220230,2289606150.0,10437000000,443669175.0,9226000000,411052350.0,60044000000,2575633425.0,3109350,56272.81,55.254926846553424,5451079,86935.83,62.70232883265737,737401,70698.32,10.430247847473602,849129,77115.68,11.011106949974376,5751525,65496.38,87.81439523833225,48.7,28.6,55.7,35.2,50.2,30.2,50.0,28.0,55.7,31.7,0.004887775,0.08613944400000001,0.808054383,0.010435473,0.009281725,0.033641383,0.047559818,0.008866745,0.088149181,0.776997472,0.036550467,0.00907768,0.02912861,0.051229844000000004,0.0028615909999999997,0.083482803,0.812550342,0.00665989,0.006922374,0.034876928,0.052646070999999996,0.00442616,0.09156804,0.791594198,0.005454112,0.009274514000000001,0.042341069,0.055341909,0.007927705,0.081654315,0.8087910759999999,0.018979448,0.00966274,0.03223248,0.040752236000000004,11.0,17.0,12.0,12.0,13.0,21.2780889,30.78718642,10.14900144,6.860861498999999,30.75167731,0.0082
2015,3095373000000,33109000000,1149113025.0,57795772499,2367988800.0,10079000000,430921950.0,9325000000,418065150.0,62140000000,2653395150.0,3120960,56272.81,55.4612431829866,5482032,86935.83,63.05837305516034,754066,70698.32,10.66596773445253,853988,77115.68,11.074116184931523,5760940,65496.38,87.95814364091574,53.8,33.2,59.4,39.1,54.9,34.7,55.1,31.6,59.8,35.2,0.005778409,0.086243704,0.80958746,0.013746263,0.00952993,0.034317398,0.040796836,0.008634035,0.08321242599999999,0.781316902,0.036175425,0.008566576,0.027094694,0.054999942,0.00217238,0.08603416900000001,0.819511833,0.003703933,0.005356723000000001,0.038429849,0.044791113,0.005600323000000001,0.083823816,0.8055320890000001,0.008018697,0.007860876,0.031211415,0.05795278400000001,0.008183208,0.078865793,0.812343217,0.019134901,0.009002215,0.031603047,0.040867619,11.0,17.0,12.0,12.0,13.0,20.56872083,30.40822681,9.398703198,6.9535023670000005,30.31815071,0.0094
2016,3174408000000,33263000000,1198348725.0,58856547322,2407910625.0,9740000000,400058325.0,9508000000,427050300.0,63870000000,2683345650.0,3131371,56272.81,55.64625260405514,5522744,86935.83,63.5266724893522,754434,70698.32,10.671172950078587,862996,77115.68,11.190927707568683,5772628,65496.38,88.13659625157909,54.2,34.9,60.6,40.8,55.8,36.6,55.4,33.3,60.5,36.1,0.004651069,0.081656728,0.812459939,0.010776081000000002,0.008813349,0.034385071,0.047257764,0.007039718,0.085876954,0.778295959,0.036243007,0.007981298000000001,0.026195879,0.058367185999999995,0.005807496,0.099476143,0.8016831390000001,0.005270585,0.007157159000000001,0.029389671000000003,0.051215805999999996,0.0039960759999999994,0.08884585699999999,0.7988269809999999,0.004900365,0.009842575,0.038314907,0.05527324,0.007031135,0.08219847799999999,0.8069199779999999,0.017426119,0.008973122,0.030303102999999998,0.047148065,14.0,20.0,12.0,12.0,13.0,21.69350013,31.90407869,8.44020057,6.927083854,29.98872465,0.0099
2017,3212347000000,33751000000,1181656800.0,59970745402,2331281175.0,9703000000,402176775.0,9638000000,441222000.0,65324000000,2625417000.0,3141550,56272.81,55.82713925250934,5566230,86935.83,64.02688051635327,754942,70698.32,10.678358410779774,872868,77115.68,11.318943177314912,5790186,65496.38,88.40467213607836,52.8,32.5,60.4,39.7,54.5,34.9,53.5,30.5,59.1,34.5,0.0050904570000000005,0.079951224,0.814113812,0.008555248,0.009203135999999999,0.031940552000000004,0.051145572,0.007083748000000001,0.081501088,0.780208205,0.036744041,0.009321806,0.026329677000000003,0.058811435999999995,0.0050895359999999995,0.08178553400000001,0.816226289,0.005274655,0.007066606,0.038245566,0.04631181400000001,0.0034924009999999996,0.078049664,0.812345317,0.006773975,0.006977926999999999,0.033904248,0.058456469000000004,0.006296255,0.07633902599999999,0.8111930009999999,0.017505249,0.009205857,0.029961652000000002,0.04949896,16.0,23.0,12.0,13.0,18.0,20.60068326,31.39033065,8.930513825,6.711773291,29.37521027,0.012
2018,3240327000000,33507000000,1140456600.0,60438313272,2271234075.0,9866000000,396844125.0,9736000000,453202200.0,65884000000,2518508325.0,3148618,56272.81,55.95274165267382,5606249,86935.83,64.4872085537114,758080,70698.32,10.722744189678057,878698,77115.68,11.394543885238386,5807406,65496.38,88.66758743002285,50.6,30.6,57.2,37.8,53.1,33.3,50.9,28.7,55.6,32.7,0.003965456,0.081207513,0.815683695,0.010186816999999999,0.007898812,0.029880659,0.051177047999999996,0.006388935,0.083987429,0.776912113,0.035491535,0.008865613,0.027556173,0.060798202999999995,0.002056731,0.087313233,0.8215761079999999,0.007371624,0.010394014,0.033923515,0.037364776,0.001964473,0.094355039,0.8144760590000001,0.005533951999999999,0.01307883,0.020672766000000002,0.049918881,0.006581473000000001,0.075151753,0.8169298159999999,0.014992541000000002,0.008773606,0.0292502,0.04832061,18.0,28.0,12.0,13.0,19.0,20.80861831,31.61187525,9.480679523,6.85695171,31.25700488,0.0254
